Respondent_ID,Question Type,Recoded Value
195,FF6.1,4.0
43,FF5.2,2.0
50,FF3.2,4.0
144,FF3.3,4.0
262,FF5.6,1.0
85,FF2.10,4.0
203,FF3.4,5.0
191,FF2.1,5.0
129,FF2.5,5.0
111,FF1.7,4.0
61,FF6.3,1.0
76,FF4,5.0
186,FF4.1,2.0
103,FF4.4,5.0
23,FF2.11,4.0
176,F,
259,FF2,5.0
100,FF4.3,3.0
116,FF3,2.0
19,FF2.7,4.0
24,FF3.2,4.0
60,FF1.7,5.0
155,FF6.3,2.0
4,FF3.5,2.0
49,FF1.2,4.0
108,FF3.5,4.0
132,FF3.5,2.0
163,FF3.4,4.0
233,FF1.6,4.0
203,FF1.6,5.0
95,FF2,5.0
194,FF4,4.0
169,FF4.1,3.0
260,FF5.6,1.0
175,FF2.6,5.0
253,FF2.9,4.0
22,FF2.2,4.0
75,FF4.2,5.0
216,FF1.2,4.0
204,FF2.5,5.0
180,F,
139,FF2.2,5.0
91,FF4,5.0
223,FF1.2,5.0
194,FF1.4,4.0
86,FF1,4.0
100,FF5.2,5.0
158,FF6.2,4.0
87,FF1.6,4.0
128,FF1.2,4.0
113,FF5.4,4.0
171,FF4.3,5.0
48,FF2,5.0
101,FF3,3.0
209,FF5.4,4.0
159,FF1.6,4.0
92,FF6.4,3.0
137,FF2.5,4.0
147,FF2.9,5.0
186,FF4,5.0
208,FF4.2,4.0
234,FF3.1,2.0
98,FF5.7,5.0
176,FF3.5,1.0
182,FF2,5.0
159,FF2.3,3.0
134,FF4.1,3.0
44,FF1.1,4.0
91,FF1.1,5.0
176,FF1.1,4.0
241,FF6.3,2.0
80,FF4,5.0
200,FF2.11,4.0
29,FF2,4.0
182,FF5.7,5.0
120,FF3.5,2.0
152,FF4,4.0
124,FF4.1,3.0
146,FF2.5,4.0
56,FF6.4,4.0
179,FF5.7,5.0
204,FF6.4,5.0
201,FF5,4.0
121,FF5.7,1.0
105,FF2.6,4.0
200,FF6.1,4.0
182,FF2.5,5.0
172,FF6.2,5.0
75,FF3,4.0
115,FF3.2,4.0
42,FF6.4,3.0
56,FF2.11,4.0
187,FF3.3,4.0
104,FF2.5,4.0
153,FF2.11,4.0
255,FF5,2.0
233,FF2.11,4.0
6,FF5.1,5.0
212,FF6.4,4.0
164,FF6.3,1.0
222,FF3.5,5.0
31,FF5.3,4.0
30,FF2.4,4.0
254,FF1,4.0
87,FF3,3.0
182,FF6.2,4.0
140,FF6,2.0
112,FF1.3,5.0
163,FF5.4,2.0
32,FF3.1,4.0
104,FF5.5,3.0
209,FF1.6,5.0
84,FF3.4,3.0
11,FF4.3,2.0
47,FF6.2,4.0
21,FF5.2,3.0
171,FF2.4,5.0
163,FF2.6,5.0
127,FF3.1,4.0
223,FF2.11,5.0
261,FF5,4.0
176,FF6.2,4.0
96,FF2.11,5.0
124,FF3.2,4.0
33,F,
235,FF6,4.0
9,FF2.8,5.0
31,FF1,5.0
179,FF6.2,5.0
204,FF6.3,5.0
16,FF3.1,4.0
180,FF2.8,5.0
110,FF3.1,4.0
232,FF5.6,1.0
254,F,
21,FF5.6,4.0
80,FF6.4,3.0
175,FF4.2,4.0
27,FF2,4.0
240,FF4.3,4.0
177,FF1.2,5.0
242,FF1.1,4.0
88,FF5.1,4.0
44,FF2,4.0
146,FF2.3,5.0
135,FF2.5,5.0
109,FF5,4.0
181,FF1.1,5.0
174,FF6,2.0
88,FF6.2,3.0
127,FF5,2.0
225,FF3,3.0
210,FF5.7,4.0
101,FF5.3,4.0
22,FF4.1,3.0
53,F,
80,FF1,5.0
20,FF1.3,4.0
31,FF2.5,5.0
166,FF2.7,5.0
6,FF1.5,5.0
60,FF5.6,3.0
88,FF3,4.0
189,FF2.4,5.0
38,FF5.2,3.0
97,FF2.2,4.0
89,FF2,4.0
171,FF2.8,5.0
9,FF2.6,4.0
117,FF5.7,5.0
219,FF5.4,4.0
190,FF3.1,2.0
158,FF2.7,5.0
240,FF1.4,5.0
189,FF5.5,1.0
58,FF5,4.0
70,FF2.11,5.0
190,FF2.7,4.0
245,FF5.3,4.0
186,FF6.4,3.0
40,FF5.7,4.0
108,FF4.1,3.0
24,FF2,4.0
120,FF1.5,5.0
102,FF6.3,3.0
49,FF1.5,4.0
221,FF5.6,1.0
52,FF1.2,4.0
217,FF5.1,4.0
157,FF2.11,5.0
153,FF2,2.0
10,FF1,5.0
13,FF2.5,4.0
64,FF2.1,5.0
47,FF2.3,4.0
210,FF2.8,4.0
198,FF5.5,2.0
44,FF5.6,1.0
81,FF6.2,5.0
264,FF2.5,5.0
242,FF1.3,4.0
72,FF2.7,5.0
107,FF5.7,4.0
61,FF5,4.0
34,FF2.5,5.0
75,FF2.3,5.0
224,FF6.2,4.0
261,FF2.6,4.0
227,FF4.4,4.0
237,FF6.1,5.0
43,FF6.3,1.0
184,FF6.4,3.0
183,FF5.7,5.0
219,FF4.4,4.0
90,FF3.5,3.0
51,FF5.1,3.0
19,FF6.1,5.0
106,FF3.4,4.0
67,FF3.5,2.0
67,FF4.1,3.0
78,FF2.8,4.0
167,FF5.4,4.0
43,FF4.3,4.0
83,FF3.2,4.0
40,FF3.1,3.0
245,FF1.6,4.0
75,FF3.5,2.0
63,FF6.2,5.0
222,FF6.3,1.0
60,FF4.3,4.0
132,FF1.1,5.0
154,FF1.1,5.0
138,FF6,1.0
255,FF2.1,4.0
216,FF2.5,4.0
126,FF3.5,2.0
142,FF5.3,4.0
27,FF3,3.0
180,FF4.3,2.0
68,FF3,4.0
27,FF2.2,5.0
202,FF3.1,3.0
232,FF3.1,5.0
237,FF5.7,5.0
48,FF5.2,2.0
69,FF6.4,3.0
239,FF2.7,4.0
45,FF2.11,5.0
242,FF2,4.0
8,FF2.1,4.0
18,FF2.4,5.0
212,FF2.8,4.0
154,FF3.3,4.0
56,F,
188,FF4.1,2.0
74,FF5.5,2.0
54,FF5.3,5.0
26,FF4,4.0
187,FF3.1,4.0
98,FF5.4,4.0
175,FF5.6,2.0
66,FF2.11,5.0
163,FF3.5,4.0
214,FF5.3,4.0
104,FF3.2,4.0
261,FF6.3,2.0
162,FF3.4,4.0
216,FF2.2,4.0
185,FF4.3,2.0
61,FF3.5,1.0
173,FF1.3,4.0
93,FF5.4,4.0
96,FF5.4,4.0
201,FF2.1,5.0
1,FF5.4,4.0
170,FF6.4,2.0
158,FF5,2.0
154,FF1,5.0
42,FF1.1,4.0
195,FF1.1,4.0
207,FF2.4,5.0
156,FF1.3,5.0
175,FF1.5,5.0
238,FF1.6,5.0
75,FF5.7,5.0
15,FF6.1,5.0
236,FF6.4,4.0
233,FF6.4,3.0
261,FF1.5,4.0
194,FF4.2,4.0
42,FF5,3.0
19,FF4.2,4.0
207,FF5.4,3.0
47,FF3.4,4.0
199,FF1,5.0
128,FF1.4,4.0
143,FF6.3,1.0
68,FF2.1,5.0
35,FF5.4,3.0
46,FF4.3,2.0
211,FF2.10,4.0
31,FF5.6,2.0
260,FF5.2,2.0
173,FF5.2,1.0
234,FF3.4,2.0
254,FF6.4,3.0
143,FF3,2.0
25,FF1,5.0
42,FF3.1,4.0
241,FF1.2,4.0
233,FF3.2,4.0
225,FF2.10,3.0
36,FF3.2,2.0
237,FF6.2,4.0
6,FF5.5,1.0
239,FF3.1,4.0
45,FF1.6,5.0
179,FF4.1,2.0
235,FF1,5.0
141,FF2,5.0
27,FF1,4.0
218,FF3.5,4.0
217,FF4,4.0
169,FF2.6,5.0
86,FF2.4,4.0
258,FF1.3,3.0
220,FF5.7,5.0
201,FF1.7,3.0
111,FF1,5.0
244,FF2.8,5.0
6,FF5,3.0
146,FF5.6,2.0
88,FF2.1,5.0
206,FF5.3,4.0
1,FF4.3,3.0
10,FF2.10,4.0
42,FF4,4.0
7,FF2.5,5.0
102,FF3.4,4.0
130,FF3.3,4.0
28,FF3.5,2.0
89,FF5.4,4.0
153,FF2.1,5.0
243,FF2.3,4.0
51,FF2.8,4.0
62,FF4.2,5.0
122,FF3.1,4.0
215,FF2.7,2.0
20,FF2.5,4.0
134,FF2.6,5.0
80,FF4.2,5.0
37,FF6,2.0
24,FF5.4,3.0
207,FF3.2,2.0
184,FF1.7,3.0
123,FF4.2,4.0
151,FF6.3,2.0
148,FF2.9,4.0
218,FF1.6,5.0
114,FF4.3,1.0
44,FF4.3,4.0
49,FF2.7,4.0
144,FF6.4,4.0
234,FF1.6,5.0
183,FF6.2,5.0
56,FF6,4.0
75,FF1.6,4.0
114,FF2,4.0
49,FF6.3,2.0
214,FF1.7,3.0
143,FF5,2.0
206,FF2.3,4.0
217,FF6.4,4.0
229,FF6.3,2.0
226,FF1.7,4.0
43,FF2.7,5.0
179,FF2.9,4.0
155,FF2.3,3.0
187,FF3.5,4.0
254,FF5.5,3.0
193,FF3.5,2.0
255,FF2.5,5.0
135,FF3.5,3.0
157,FF5.2,
236,FF4.3,3.0
215,FF2.5,5.0
259,FF1.1,5.0
79,FF1.6,5.0
102,FF3.5,2.0
48,FF5,2.0
69,FF5.3,5.0
78,FF6,2.0
168,FF5.2,1.0
59,FF2.2,5.0
242,FF1.4,4.0
43,FF1.3,5.0
77,FF4.4,4.0
237,FF2.8,4.0
159,FF5.7,3.0
75,FF6,4.0
251,FF5.2,1.0
21,FF4.2,5.0
95,FF6,1.0
83,FF4.3,4.0
120,FF2.2,5.0
129,FF6.2,3.0
32,FF4.1,3.0
62,FF5,4.0
263,FF1.3,5.0
95,FF4.2,4.0
47,FF6.4,3.0
13,FF5.7,5.0
253,FF6.2,5.0
142,FF6.3,2.0
60,FF6,1.0
44,FF2.5,5.0
65,FF2.8,4.0
37,FF3,3.0
161,FF6.3,2.0
202,FF2.9,4.0
232,FF4.3,2.0
173,FF5.3,3.0
69,FF2,5.0
238,FF2,5.0
71,FF1.3,5.0
175,FF2.7,5.0
203,FF1.5,5.0
194,FF4.3,2.0
59,FF4.3,4.0
48,FF3.5,3.0
98,FF5.2,1.0
25,FF4.2,4.0
120,FF2.8,5.0
254,FF5.4,4.0
60,FF1.6,5.0
119,FF1.1,4.0
119,FF4,4.0
234,FF5.1,4.0
29,FF2.3,5.0
113,FF3.3,4.0
159,FF2.10,2.0
236,FF2,4.0
48,FF4.4,3.0
83,FF2.7,5.0
197,FF5.3,3.0
58,FF2.10,4.0
73,FF6,3.0
27,FF6.1,4.0
126,FF5.3,5.0
250,FF2.4,4.0
173,FF4.1,5.0
190,FF4.3,3.0
167,FF5.6,2.0
177,FF4.3,3.0
86,FF6.1,3.0
156,FF5.2,2.0
173,FF5.6,1.0
26,FF2.1,4.0
63,FF2.1,4.0
262,FF2.10,4.0
25,FF5.2,3.0
87,FF5,4.0
94,FF2,4.0
217,F,
101,FF1.6,4.0
127,FF3.5,1.0
109,FF2.7,5.0
226,FF2.5,4.0
264,FF2.6,5.0
88,FF3.4,3.0
98,FF5.1,4.0
63,FF1.6,5.0
262,FF3.4,3.0
90,FF1.6,5.0
153,FF3.4,4.0
251,FF1.1,5.0
117,FF2.1,5.0
42,FF5.6,2.0
129,FF6,2.0
225,FF4.3,3.0
262,FF1.2,5.0
34,FF2.7,4.0
26,FF5.1,3.0
249,FF5.1,4.0
41,FF1.3,3.0
140,FF2.6,4.0
48,FF2.1,4.0
207,FF2.9,5.0
159,FF1.1,4.0
127,FF2.7,4.0
8,FF5.4,4.0
115,FF2.9,4.0
5,FF2.8,4.0
146,FF2.9,4.0
202,FF4.3,2.0
197,FF4,4.0
90,FF5.4,3.0
207,FF4.2,4.0
119,FF3,3.0
13,FF6.1,4.0
44,FF2.3,4.0
241,FF2.4,5.0
114,FF1.3,5.0
225,FF5.3,3.0
35,FF4.2,4.0
95,FF2.7,5.0
119,FF5.5,2.0
257,FF2.4,5.0
222,FF2.5,5.0
58,FF2.9,4.0
223,FF2.9,4.0
204,FF2.10,5.0
167,FF1.7,2.0
23,FF5,2.0
207,FF2.6,5.0
170,FF4.3,2.0
27,FF2.11,3.0
212,FF2.11,4.0
91,FF2.3,5.0
241,FF3.1,3.0
142,FF2.5,5.0
195,FF2.10,4.0
102,FF5,1.0
227,FF1.7,3.0
188,FF2.1,5.0
58,FF6.1,4.0
30,FF5,1.0
256,FF5.5,2.0
70,FF6.2,5.0
61,FF1,2.0
115,FF2.5,4.0
181,FF1.3,5.0
116,FF4.1,4.0
119,FF1.4,4.0
144,FF5.6,2.0
257,FF2.10,4.0
247,FF5.7,5.0
250,FF2.9,4.0
173,FF1,3.0
109,FF2.6,5.0
243,FF4.2,4.0
50,FF2.4,4.0
235,FF1.4,5.0
213,FF6.3,1.0
94,FF6.4,2.0
157,FF6.4,2.0
211,FF4,4.0
186,FF5.1,3.0
8,FF4.1,2.0
100,FF5,3.0
188,FF2.8,5.0
191,FF1.6,5.0
197,FF5.5,1.0
59,FF3,4.0
208,FF1.5,3.0
229,FF5,2.0
109,FF4.4,5.0
150,FF5,4.0
201,FF5.2,3.0
98,FF1.4,2.0
195,FF4.3,2.0
78,FF2.11,4.0
234,FF2.1,5.0
45,FF1,5.0
63,FF4,4.0
115,FF1.2,5.0
54,FF2.8,5.0
82,FF5.5,1.0
128,FF2.11,4.0
245,FF1.1,4.0
218,FF3.1,4.0
115,FF6.3,2.0
248,FF2.11,4.0
41,FF4.1,5.0
142,FF2.4,4.0
234,FF6.2,4.0
256,FF2.6,4.0
31,FF6,2.0
244,FF6.2,5.0
158,FF4.2,5.0
64,FF1.4,4.0
91,FF1.7,3.0
219,FF5.1,3.0
56,FF1.3,5.0
171,FF3.1,2.0
89,F,
172,FF2.2,5.0
105,FF2.10,4.0
136,FF1.1,5.0
242,FF2.10,4.0
172,FF1.5,5.0
46,FF2.1,4.0
243,FF4.3,4.0
1,FF5.3,4.0
164,FF2.10,5.0
229,FF2.10,4.0
260,FF3,3.0
55,FF6,2.0
149,FF5.1,3.0
149,FF1.5,4.0
2,FF2.10,4.0
30,FF5.2,2.0
95,FF4,5.0
68,FF2.6,5.0
142,FF5.6,2.0
226,FF4.2,4.0
202,FF2.3,4.0
114,FF5.5,3.0
68,FF5.6,3.0
157,FF2.10,3.0
154,FF2,5.0
195,FF5.2,2.0
9,FF6.2,5.0
242,FF1.6,4.0
152,FF4.3,4.0
199,FF5.2,3.0
159,FF5.5,2.0
101,FF1.7,4.0
103,FF6.1,4.0
207,FF1.7,5.0
113,FF5.7,4.0
91,FF1.4,3.0
77,FF6.1,4.0
257,FF1.1,4.0
189,FF1.4,4.0
37,FF4.3,2.0
27,FF5.3,4.0
104,FF1,3.0
217,FF1,4.0
36,FF2.1,4.0
209,FF5.1,4.0
236,FF4.4,3.0
103,FF3.1,4.0
112,FF3.5,4.0
75,FF5.2,1.0
85,FF6.4,4.0
197,FF6.1,5.0
182,FF1,5.0
174,FF5.2,1.0
228,FF5.1,3.0
165,FF4.2,4.0
240,FF1.5,5.0
250,FF2.6,4.0
203,FF4.3,3.0
97,FF6,4.0
158,FF3,3.0
145,FF2.1,5.0
106,F,
119,FF4.4,4.0
174,FF2.5,5.0
165,F,
164,FF4.2,4.0
78,FF1.7,3.0
4,FF2.9,4.0
54,FF3.5,3.0
214,FF2,5.0
79,FF2.10,4.0
210,FF6.4,3.0
10,FF6,1.0
72,FF1.7,4.0
54,FF5.2,2.0
40,FF1.2,5.0
180,FF4.1,2.0
138,FF5.3,4.0
237,FF3.1,4.0
116,FF3.3,2.0
230,F,
234,FF1.1,4.0
236,FF1,4.0
177,F,
237,FF1.4,4.0
154,FF6.3,1.0
102,FF4.2,4.0
164,FF1.6,5.0
200,FF2.9,4.0
191,FF3.1,4.0
160,FF5.4,4.0
119,FF6.2,5.0
155,FF2.6,4.0
159,FF1.3,4.0
131,FF2.8,4.0
47,FF3,4.0
119,FF6,3.0
195,F,
94,FF4.2,4.0
197,FF2.8,4.0
5,FF2.3,2.0
177,FF5.1,3.0
58,FF5.4,2.0
117,FF5,3.0
99,FF4.1,4.0
219,FF2.5,4.0
66,FF5.5,1.0
235,FF3.4,4.0
179,FF2.10,4.0
23,FF3.3,4.0
254,FF2.10,5.0
253,FF5,2.0
223,FF2.1,5.0
30,FF5.7,4.0
261,FF3,4.0
151,FF5.4,3.0
201,FF2.5,4.0
229,FF5.1,5.0
212,FF5.7,5.0
172,FF3.1,5.0
1,FF6,2.0
256,FF2.2,4.0
47,FF2.11,4.0
80,FF1.1,5.0
63,FF3.1,3.0
112,FF2.1,5.0
10,FF1.1,4.0
13,FF4,3.0
43,FF2.2,5.0
253,FF1.1,5.0
13,FF1.3,4.0
234,FF3.2,2.0
48,FF6.1,4.0
79,FF1.4,4.0
176,FF6.3,2.0
198,FF1.6,5.0
12,FF5.6,5.0
158,FF4.3,2.0
6,FF6.1,5.0
73,FF5.7,5.0
232,FF6.1,5.0
239,FF3,4.0
194,FF1.2,3.0
15,FF4.1,2.0
129,FF4.2,4.0
26,FF1.5,3.0
68,FF2.4,5.0
49,FF1.1,4.0
11,FF1,4.0
185,FF1.6,5.0
19,FF2.1,5.0
214,FF5.4,3.0
192,FF2,5.0
234,FF2.4,4.0
174,FF5.3,4.0
124,FF2.3,5.0
48,FF5.6,2.0
174,FF5.6,1.0
42,FF2.6,4.0
11,FF2.5,5.0
29,FF5.5,
148,FF2.10,4.0
43,FF2.11,4.0
120,FF2.11,4.0
80,FF1.4,5.0
87,FF1.1,4.0
237,FF1.1,5.0
45,FF5.1,4.0
116,FF6.3,2.0
165,FF6.3,1.0
110,FF6,1.0
189,FF5.1,3.0
42,FF4.4,4.0
37,FF6.1,5.0
29,FF6.2,4.0
37,FF1.5,4.0
88,FF3.5,2.0
71,FF3.5,3.0
206,FF3.5,2.0
250,FF5.4,3.0
91,FF3.2,3.0
244,FF3.3,4.0
195,FF1.3,4.0
39,FF2.3,4.0
224,FF2.4,4.0
132,FF3.1,4.0
217,FF4.3,3.0
169,FF4,5.0
21,FF5.1,4.0
40,FF4.1,3.0
3,FF2.6,4.0
43,FF3,3.0
99,FF5.5,2.0
171,FF3.2,4.0
207,FF3.4,2.0
216,FF6.4,3.0
198,FF1.2,5.0
125,FF6,2.0
166,FF2.2,5.0
191,FF4.2,5.0
118,FF2.8,4.0
250,FF5.7,3.0
230,FF3,4.0
8,FF3.5,1.0
102,FF2.7,4.0
77,FF1.1,4.0
18,FF3.5,1.0
192,FF4,3.0
68,FF1.4,4.0
55,FF5.1,4.0
243,FF5.5,3.0
210,FF3.1,4.0
136,FF6.2,5.0
23,FF6.4,3.0
221,FF2.5,5.0
36,FF2.5,4.0
107,FF2,3.0
60,FF4.4,5.0
142,FF5,2.0
131,FF5,2.0
59,FF2,5.0
76,FF6.1,5.0
72,FF2.6,5.0
245,FF5.5,1.0
20,FF6.1,4.0
118,FF6.1,4.0
91,FF4.3,1.0
164,FF2.9,5.0
150,FF2.1,5.0
58,FF2.2,4.0
232,FF2.10,5.0
1,FF5.1,4.0
90,FF5.2,1.0
116,FF5.6,2.0
193,FF2.4,5.0
23,FF5.1,4.0
30,FF2.6,4.0
175,FF2.11,5.0
64,FF2,4.0
50,FF2,4.0
101,FF1.1,4.0
121,FF1.1,1.0
243,FF2.2,4.0
61,FF1.3,5.0
123,FF2.7,3.0
22,FF2.8,5.0
51,FF1.1,4.0
203,FF5.3,3.0
201,FF3.4,4.0
40,FF2.6,5.0
235,FF5.7,3.0
38,FF2.8,4.0
261,FF2.5,4.0
124,FF1.1,5.0
144,FF1.1,5.0
109,FF5.4,3.0
118,FF6.3,3.0
137,FF3.3,3.0
96,FF1.1,5.0
148,FF6.3,2.0
142,FF2.11,4.0
14,F,
254,FF2.4,4.0
135,FF5.2,2.0
90,FF4.4,4.0
55,FF1.4,3.0
189,FF6,3.0
111,FF2.6,4.0
212,FF3.3,3.0
257,FF5.6,4.0
215,FF1.3,4.0
171,FF2.3,4.0
241,FF2.6,5.0
168,FF1.2,5.0
231,FF2.5,5.0
201,FF4.4,4.0
62,FF2.5,5.0
194,FF6.4,4.0
118,FF2.7,4.0
249,FF5.2,2.0
83,FF2.9,5.0
81,FF3.1,4.0
8,FF2.9,5.0
104,FF6.3,3.0
141,FF1.3,5.0
100,FF3.1,3.0
170,FF5.2,2.0
57,FF3.5,1.0
230,FF1.2,5.0
16,FF2.6,5.0
106,FF4.1,5.0
152,FF5.3,4.0
1,FF1.2,4.0
84,FF1,3.0
42,FF5.3,5.0
211,FF5.3,3.0
60,FF3.2,5.0
260,FF5.3,4.0
222,FF5.1,5.0
97,FF6.3,3.0
217,FF2.9,5.0
73,FF4.3,2.0
221,FF2.10,4.0
105,FF2.1,4.0
144,FF3,4.0
256,FF2.10,4.0
58,FF3.1,3.0
12,FF5.7,5.0
59,FF3.5,4.0
191,FF3.5,4.0
131,FF4.1,3.0
216,FF1.4,3.0
92,FF6.3,2.0
220,FF2.6,5.0
142,FF1.7,4.0
240,FF4.4,5.0
80,FF4.4,5.0
114,FF2.9,4.0
167,FF6.1,4.0
229,FF4.2,4.0
96,FF3.2,2.0
183,FF3.4,3.0
259,FF3.4,3.0
259,FF2.4,4.0
140,FF1.1,4.0
58,FF1.5,4.0
249,FF4.1,4.0
163,FF4.3,2.0
247,FF3.3,4.0
79,FF4.4,4.0
230,FF2.11,5.0
103,FF1.7,4.0
24,FF2.7,4.0
112,FF6.2,4.0
249,FF2.4,5.0
234,FF1.4,3.0
29,FF6.1,4.0
154,FF1.2,5.0
240,FF3.5,3.0
3,FF1.7,4.0
223,FF5.2,2.0
58,FF5.2,2.0
263,FF2.5,4.0
139,FF6.3,1.0
24,FF2.9,4.0
164,FF6.4,2.0
92,FF1,4.0
42,FF4.2,3.0
70,FF2.10,5.0
119,FF1.7,3.0
194,F,
203,FF5,3.0
127,FF4.3,3.0
34,FF5.7,5.0
257,FF5,4.0
227,FF2.3,5.0
2,FF2.4,4.0
236,FF4.2,4.0
240,FF6.4,4.0
230,FF2.1,5.0
183,FF3,4.0
134,FF5,2.0
65,FF2,4.0
16,FF2.3,4.0
258,FF5.2,4.0
164,FF5.3,4.0
133,FF3.1,3.0
77,FF3.5,3.0
246,F,
205,FF1.3,5.0
123,FF2.1,4.0
181,FF3.4,4.0
